PUZZLE,CATEGORY,DATE USED,WHEN USED
BACKYARD BARBEQUE,Event,9/8/08 (#4876),T1
DECORATIVE PILLOWS,Around the House,9/8/08 (#4876),T2
THE GREATEST COUNTRY IN THE WORLD,Place,9/8/08 (#4876),R1
A NEW PASSPORT PHOTO,Thing,9/8/08 (#4876),R2*
CURLING IRON MAN,Before & After,9/8/08 (#4876),R3
WESTERN EUROPE,On the Map,9/8/08 (#4876),T3
BEER-BATTERED FISH & CHIPS,Food & Drink,9/8/08 (#4876),R4
TENNIS PARTNERS,People,9/8/08 (#4876),R5
HOT COCOA MIX,Food & Drink,9/8/08 (#4876),BR
ICE CREAM TRUCK,Thing,9/9/08 (#4877),T1
GAINESVILLE FLORIDA,On the Map,9/9/08 (#4877),T2
A TRIP ACROSS THE POND,Phrase,9/9/08 (#4877),R1*
FILLING OUT A QUESTIONNAIRE,What Are You Doing?,9/9/08 (#4877),R2
SARAH JESSICA PARKER AS CARRIE BRADSHAW,Star & Role,9/9/08 (#4877),R3
DOMED STADIUM,Place,9/9/08 (#4877),T3
INSURANCE INVESTIGATOR,Occupation,9/9/08 (#4877),R4
STOPWATCH,Thing,9/9/08 (#4877),BR
BUTTERFLY GARDEN,Place,9/10/08 (#4878),T1
LEAN AND MEAN,Rhyme Time,9/10/08 (#4878),T2
BOX OFFICE BLOCKBUSTER,Show Biz,9/10/08 (#4878),R1
LOUNGING POOLSIDE,What Are You Doing?,9/10/08 (#4878),R2*
AMERICAN & RHUBARB PIE,Same Name,9/10/08 (#4878),R3
PALM READING,Event,9/10/08 (#4878),T3
VERY ACTIVE IMAGINATION,Thing,9/10/08 (#4878),R4
BIG DREAMS,Things,9/10/08 (#4878),BR
FRESH FRUIT SALAD,Food & Drink,9/11/08 (#4879),T1
THE PANAMA CANAL,Landmark,9/11/08 (#4879),T2
SCIENCE FICTION TELEVISION SERIES,Show Biz,9/11/08 (#4879),R1
BLUE JAY LENO,Before & After,9/11/08 (#4879),R2
FIELDS OF CLOVER,Places,9/11/08 (#4879),R3*
ANTIQUE DEALER,Occupation,9/11/08 (#4879),T3
BOTTLE-NOSED DOLPHINS,Living Things,9/11/08 (#4879),R4
LETTER TO THE EDITOR,Thing,9/11/08 (#4879),R5
HISTORY BUFF,Person,9/11/08 (#4879),BR
OUTDOOR CONCERT,Show Biz,9/12/08 (#4880),T1
POTTERY STUDIO,Place,9/12/08 (#4880),T2
CALIFORNIA-NEVADA BORDER,On the Map,9/12/08 (#4880),R1
ANNUAL LIVESTOCK SHOW AND RODEO,Event,9/12/08 (#4880),R2
WONDERS OF NATURE,Things,9/12/08 (#4880),R3*
STEP STOOL,Around the House,9/12/08 (#4880),T3
TAKING A TURN FOR THE BETTER,Phrase,9/12/08 (#4880),R4
SECOND COUSINS,People,9/12/08 (#4880),R5
YOU MADE ME BLUSH,Phrase,9/12/08 (#4880),BR
FRONT-ROW SEATS,Things,9/15/08 (#4881),T1
ICE CREAM PARLOR,Place,9/15/08 (#4881),T2
SOAKING IN THE AWESOME SCENERY,What Are You Doing?,9/15/08 (#4881),R1*
FINE-CUT CRYSTAL GLASSWARE,Around the House,9/15/08 (#4881),R2
PHOTO FINISH YOUR VEGETABLES,Before & After,9/15/08 (#4881),R3
THE PACIFIC OCEAN,On the Map,9/15/08 (#4881),T3
WE ARE THE CHAMPIONS,Song Title,9/15/08 (#4881),R4
POLICE DRAMA,Show Biz,9/15/08 (#4881),BR
STRETCH LIMOUSINE,Thing,9/16/08 (#4882),T1
MALIBU BEACH CALIFORNIA,On the Map,9/16/08 (#4882),T2
SUPREME & HANDBALL COURT,Same Name,9/16/08 (#4882),R1
RELAXING UNDER THE MIDDAY SUN,What Are You Doing?,9/16/08 (#4882),R2*
CRANBERRY MUFFIN WITH ORANGE GLAZE,Food & Drink,9/16/08 (#4882),R3
ADVERTISING EXECUTIVE,Occupation,9/16/08 (#4882),T3
THE DARK SIDE OF THE MOON,Place,9/16/08 (#4882),R4
A BRISK PACE,Thing,9/16/08 (#4882),BR
PRESIDENTIAL SUITE,Place,9/17/08 (#4883),T1
PAC-MAN & DONKEY KONG,Fun & Games,9/17/08 (#4883),T2
STANDING OVATION,Show Biz,9/17/08 (#4883),R1
EIFFEL TOWER SIDEWALK CAFES HIGH FASHION,Where Are We?,9/17/08 (#4883),R2^
MILES AND MILES OF PRISTINE COASTLINE,Things,9/17/08 (#4883),R3*
IMPORTED SWISS CHEESE,Food & Drink,9/17/08 (#4883),T3
DANCING IN THE STREET,Song Title,9/17/08 (#4883),R4
FISHING BUDDY,Person,9/17/08 (#4883),BR
FLYING FIRST-CLASS,What Are You Doing?,9/18/08 (#4884),T1
CLAIM TO FAME,Rhyme Time,9/18/08 (#4884),T2
FRESH GUACAMOLE MADE FROM SCRATCH,Food & Drink,9/18/08 (#4884),R1
THERE'S NO PLACE LIKE HOME FRIES,Before & After,9/18/08 (#4884),R2
A POCKET SPANISH-ENGLISH DICTIONARY,Thing,9/18/08 (#4884),R3*
ELITE ATHLETES,People,9/18/08 (#4884),T3
BICYCLE REPAIR SHOP,Place,9/18/08 (#4884),R4
JUKEBOX,Thing,9/18/08 (#4884),BR
FINE WINE,Rhyme Time,9/19/08 (#4885),T1
THE BIG SCREEN,Show Biz,9/19/08 (#4885),T2
WADING IN A FRESHWATER LAGOON,Fun & Games,9/19/08 (#4885),R1*
PRICELESS FAMILY HEIRLOOM,Thing,9/19/08 (#4885),R2
UNCHARTED TERRITORY,Place,9/19/08 (#4885),R3
COMIC BOOK ARTIST,Occupation,9/19/08 (#4885),T3
SETTING A NEW WORLD RECORD,Event,9/19/08 (#4885),R4
COMPOUND WORDS,Things,9/19/08 (#4885),BR
MY BEST FRIEND FOREVER,Person,9/22/08 (#4886),T1
SHOPPING SPREE,Event,9/22/08 (#4886),T2
GOSSIP GIRL SCOUT COOKIES,Before & After,9/22/08 (#4886),R1
WHITE SAND & GENTLE BLUE WAVES,Things,9/22/08 (#4886),R2*
BUYING CONCERT TICKETS ONLINE,What Are You Doing?,9/22/08 (#4886),R3
COMFY COUCH,Around the House,9/22/08 (#4886),T3
THE BUDDY SYSTEM,Phrase,9/22/08 (#4886),R4
LOADS OF FUN,Phrase,9/22/08 (#4886),BR
PARALLEL PARKING,What Are You Doing?,9/23/08 (#4887),T1
GUITAR LESSON,Event,9/23/08 (#4887),T2
LAKE SUPERIOR ATTITUDE,Before & After,9/23/08 (#4887),R1
BAKED MACARONI AND CHEESE,Food & Drink,9/23/08 (#4887),R2
ACRES OF LUSH FOREST,Things,9/23/08 (#4887),R3*
YELLOW JACKETS,Living Things,9/23/08 (#4887),T3
PUSHING THE ENVELOPE,Phrase,9/23/08 (#4887),R4
KNOCK-KNOCK JOKE,Fun & Games,9/23/08 (#4887),BR
APPLYING TO COLLEGE,Event,9/24/08 (#4888),T1
FINDER BINDER,Rhyme Time,9/24/08 (#4888),T2
EXPIRATION & PROM DATE,Same Name,9/24/08 (#4888),R1
NEW YORK & NEW JERSEY,On the Map,9/24/08 (#4888),R2
KICKING BACK IN A PRIVATE CABANA,What Are You Doing?,9/24/08 (#4888),R3*
SPIRAL STAIRCASE,Thing,9/24/08 (#4888),T3
WE'RE COMPLETE OPPOSITES,Phrase,9/24/08 (#4888),R4
BUNK BEDS,Around the House,9/24/08 (#4888),BR
I THOUGHT YOU MIGHT SAY THAT,Phrase,9/25/08 (#4889),T1
THE OLYMPIC GAMES,Event,9/25/08 (#4889),T2
HIGH-DEFINITION VIDEO CAMERA,Thing,9/25/08 (#4889),R1
GETTING AWAY FROM IT ALL,Phrase,9/25/08 (#4889),R2*
VARSITY BASEBALL PLAYER,Person,9/25/08 (#4889),R3
MEOWING KITTENS,Living Things,9/25/08 (#4889),T3
REALITY TELEVISION,Show Biz,9/25/08 (#4889),R4
PURE GENIUS,Thing,9/25/08 (#4889),BR
YEARBOOK PHOTOS,Things,9/26/08 (#4890),T1
LICENSED DRIVER,Person,9/26/08 (#4890),T2
DOLPHIN & WHALE WATCHING,What Are You Doing?,9/26/08 (#4890),R1*
WE MAKE A GREAT TEAM,Phrase,9/26/08 (#4890),R2
DOGGIE DOOR PRIZE,Before & After,9/26/08 (#4890),R3
BROOM & DUSTPAN,Around the House,9/26/08 (#4890),T3
DOUBLE CHILI-CHEESEBURGER,Food & Drink,9/26/08 (#4890),R4
AEROBICS CLASS,Fun & Games,9/26/08 (#4890),BR
TOO GOOD TO BE TRUE,Phrase,9/29/08 (#4891),T1
HUNTING LODGE,Place,9/29/08 (#4891),T2
RARE-BOOK COLLECTION,Thing,9/29/08 (#4891),R1
GAME SHOW HOSTESS TWINKIES,Before & After,9/29/08 (#4891),R2
SPLASHING IN THE SURF,Fun & Games,9/29/08 (#4891),R3*
WAREHOUSE SALE,Event,9/29/08 (#4891),T3
ELECTRONICS TECHNICIAN,Occupation,9/29/08 (#4891),R4
MUSEUM WING,Place,9/29/08 (#4891),BR
TAXI DRIVER,Occupation,9/30/08 (#4892),T1
HOT FUDGE SUNDAE,Food & Drink,9/30/08 (#4892),T2
SWINGING AT A PINATA,Fun & Games,9/30/08 (#4892),R1*
THE APOLLO THEATER IN HARLEM,Landmark,9/30/08 (#4892),R2
BALD & SWEET SPOT,Same Name,9/30/08 (#4892),R3
DROP CEILING,Around the House,9/30/08 (#4892),T3
DOG OBEDIENCE SCHOOL,Place,9/30/08 (#4892),R4
NICKELS DIMES AND QUARTERS,Things,9/30/08 (#4892),R5
COAT OF VARNISH,Thing,9/30/08 (#4892),BR
GUIDED WALKING TOUR,Event,10/1/08 (#4893),T1
DEEP-PILE CARPET,Around the House,10/1/08 (#4893),T2
HILTON HEAD SOUTH CAROLINA,On the Map,10/1/08 (#4893),R1
WILD MUSHROOM RAVIOLI,Food & Drink,10/1/08 (#4893),R2*
IN THE RIGHT PLACE AT THE RIGHT TIME,Phrase,10/1/08 (#4893),R3
BLACK-EYED SUSAN,Living Thing,10/1/08 (#4893),T3
TOM CRUISE & KATIE HOLMES,Husband & Wife,10/1/08 (#4893),R4
PEELING A BANANA,What Are You Doing?,10/1/08 (#4893),R5
PHOTO LAB,Place,10/1/08 (#4893),BR
INTERSTATE HIGHWAY,Place,10/2/08 (#4894),T1
FLAVOR SAVER,Rhyme Time,10/2/08 (#4894),T2
ADVENTURE AWAITS,Phrase,10/2/08 (#4894),R1*
AUTOMATIC GARAGE DOOR OPENER,Around the House,10/2/08 (#4894),R2
POTATO CHIP ON MY SHOULDER,Before & After,10/2/08 (#4894),R3
TOY FOX TERRIER,Living Thing,10/2/08 (#4894),T3
LITTLE LEAGUE BASEBALL,Fun & Games,10/2/08 (#4894),R4
ALLENTOWN PENNSYLVANIA,On the Map,10/2/08 (#4894),R5
DELI MUSTARD,Food & Drink,10/2/08 (#4894),R6
SHOP AROUND,Phrase,10/2/08 (#4894),BR
THE PACIFIC RIM,On the Map,10/3/08 (#4895),T1
BRIDGE TOURNAMENT,Fun & Games,10/3/08 (#4895),T2
